signature,slot,block_time,fee,compute_units,instruction_count,program_ids,account_count,total_positive_balance_changes,total_negative_balance_changes,hour,weekday,slot_rpc,block_time_rpc,fee_lamports_rpc,compute_units_rpc,compute_units_rpc_new
5GKd2rqsFiJFrduqrKfW4ES2ZfEdkupQsDc2AaD7iGvTzTUXQY9dmV7GSP3AooX3RXvZ2gJoHUSYg5VTHPwv86Rx,358975406.0,1754772594.0,105000.0,73261.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,9622029243.0,9622134243.0,2.0,6.0,358975406.0,1754772594.0,105000.0,73261.0,73261.0
26J1R6X3e3NoVoAm7EFJiLhvwousp4c3rjtYMPAUiCi4MfzDctND9so5iYTTS9VBswkUipcG44R41zDEJ9uEVPfW,358975396.0,1754772591.0,505000.0,90998.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,9349821949.0,9350326949.0,2.0,6.0,358975396.0,1754772591.0,505000.0,90998.0,90998.0
5rPmkLNWg1wAiK2Y2ra9FNQmx28c84xo5CxEjBAEkUMRKWLqY6B3Uo4scYfc77Q54x86UBFp7KgQwQTo7afcFpPG,358973620.0,1754771894.0,505000.0,45827.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,2.0,6.0,358973620.0,1754771894.0,505000.0,45827.0,45827.0
3E6UCUSXmmBcsWjbmQwcYpNxCTnoJweCaYUaK8vqW2NJCe4m9cygvvzk4HF288JqznTKMA2P4Nftrrv2Cx153A55,358967982.0,1754769652.0,505000.0,15161.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,0.0,505000.0,1.0,6.0,358967982.0,1754769652.0,505000.0,15161.0,15161.0
5n9Nk831iZiW3vdRuDMg1S7CrnP2qfPCWWsJfd9VCuBzuHCkE84YgNDH87ghWAwoigjJKyBCPXpgJPf61HPzG593,358962328.0,1754767396.0,505000.0,24293.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,0.0,505000.0,0.0,6.0,358962328.0,1754767396.0,505000.0,24293.0,24293.0
4PiS3wvzVnB9fBSDD7wxQDCw6f4Ppgq9AnVNwoNWhuFtd2Cy9p9yBWDD4nRRicfcuNaeRAiEKA9VQ1w6aZhMUCGV,358960500.0,1754766666.0,505000.0,24332.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,0.0,505000.0,0.0,6.0,358960500.0,1754766666.0,505000.0,24332.0,24332.0
24HZik6nr3qYA5wpF6F57xyZKrYsF6yi3tTBmLKDPYV9XhZrBk8xnuNqardsGGD3Nx17ycnpULUitobhcdx2FsgB,358953802.0,1754764005.0,505000.0,51808.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,23.0,5.0,358953802.0,1754764005.0,505000.0,51808.0,51808.0
5wMgVbaxSnp5emLz5n5whJVEoqimNkfsGWt4jeiWgQM7iCoJMt3oRFVsgSo75Cg6C5z5EDhM5U9LJZtRYPxzAEXD,358944700.0,1754760372.0,105000.0,29609.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,6739649075.0,6739754075.0,22.0,5.0,358944700.0,1754760372.0,105000.0,29609.0,29609.0
3TK6DeCWy3Zo9bam2mj87GFoPPG1eGKvMUSXwmumsrgM45eAy1PuFCK5grrtt7jMpFPCU4SrBt78hVCY888dhTB1,358944562.0,1754760316.0,505000.0,29616.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,6959414653.0,6959919653.0,22.0,5.0,358944562.0,1754760316.0,505000.0,29616.0,29616.0
3UxWHTDaomr6Ad8XHcQBojCxWsR3Aa7ThfMPL1HWjDTpZE5ZweeAKDwyCm53vd4xyLiMKgu8nvfpFKkCLJTLWPrY,358943094.0,1754759740.0,505000.0,45827.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,22.0,5.0,358943094.0,1754759740.0,505000.0,45827.0,45827.0
